age,job,marital,education,default,balance,housing,loan,y
30,11,2,1,0,1787,0,0,0
33,8,2,2,0,4789,1,1,0
35,5,1,3,0,1350,1,0,0
30,5,2,3,0,1476,1,1,0
59,2,2,2,0,0,1,0,0
35,5,1,3,0,747,0,0,0
36,7,2,3,0,307,1,0,0
39,10,2,2,0,147,1,0,0
41,3,2,3,0,221,1,0,0
43,8,2,1,0,-88,1,1,0
39,8,2,2,0,9374,1,0,0
43,1,2,2,0,264,1,0,0
36,10,2,3,0,1109,0,0,0
20,9,1,2,0,502,0,0,1
31,2,2,2,0,360,1,1,0
40,5,2,3,0,194,0,1,0
56,10,2,2,0,4073,0,0,0
37,1,1,3,0,2317,1,0,0
25,2,1,1,0,-221,1,0,0
31,8,2,2,0,132,0,0,0
38,5,3,0,0,0,1,0,0
42,5,3,3,0,16,0,0,0
44,8,1,2,0,106,0,0,0
44,3,2,2,0,93,0,0,0
26,4,2,3,0,543,0,0,0
41,5,2,3,0,5883,0,0,0
55,2,2,1,0,627,1,0,0
67,6,2,0,0,696,0,0,0
56,7,2,2,0,784,0,1,0
53,1,2,2,0,105,0,1,0
68,6,3,2,0,4189,0,0,1
31,10,2,2,0,171,0,0,0
59,5,2,2,0,42,0,0,0
32,5,1,3,0,2536,1,0,1
49,10,2,3,0,1235,0,0,1
42,1,3,2,0,1811,1,0,0
78,6,3,1,0,229,0,0,1
32,2,2,2,0,2089,1,0,1
33,5,2,2,0,3935,1,0,1
23,8,1,3,0,363,1,0,0
38,5,1,3,0,11971,1,0,0
36,5,1,3,0,553,0,0,0
52,2,2,2,0,1117,1,0,0
32,10,2,3,0,396,1,0,0
32,10,1,3,0,2204,1,0,0
34,5,1,3,0,872,1,0,0
55,2,2,1,0,145,0,0,0
26,2,2,1,0,0,1,0,0
32,3,1,1,1,-849,1,1,0
61,1,2,0,0,4629,1,0,1
45,2,3,1,0,844,0,0,1
37,10,1,2,0,228,1,0,0
38,10,1,2,0,50,0,0,0
34,10,2,3,0,1539,1,0,1
53,2,2,2,0,2231,1,0,0
48,1,2,2,0,3064,1,0,0
57,5,2,2,0,82,0,1,0
33,7,1,3,0,2155,0,0,0
36,6,1,2,0,101,1,1,0
54,10,3,2,0,784,1,1,0
41,2,2,1,0,-516,0,1,0
63,6,2,2,0,415,1,0,0
48,5,2,3,0,5887,0,0,0
48,8,2,2,0,1355,0,0,0
56,1,2,2,0,16873,0,0,0
51,2,3,2,0,203,1,0,0
31,8,2,2,0,338,1,0,0
29,10,2,2,0,444,1,0,0
41,5,2,2,0,0,0,1,0
32,10,1,3,0,360,0,0,0
37,5,2,3,0,0,0,0,1
42,3,3,3,1,2,1,0,0
31,5,1,3,0,6248,1,0,0
41,8,2,3,0,412,1,0,0
56,6,2,2,0,344,1,0,0
54,5,3,3,0,3222,0,0,0
41,2,3,2,0,174,1,0,0
40,10,1,2,0,591,0,1,0
50,2,3,1,0,388,0,0,0
40,11,2,2,0,219,1,0,0
27,1,3,2,0,451,1,0,1
60,6,2,1,0,5,0,0,0
28,1,1,2,0,177,1,1,0
52,8,2,2,0,657,0,0,1
37,5,2,3,0,1315,0,0,1
51,2,2,1,0,1466,1,0,0
41,10,1,2,0,879,0,1,0
35,2,1,1,0,293,1,0,0
38,1,2,2,0,424,1,0,0
34,2,2,2,0,1831,1,0,0
39,2,2,1,0,111,0,0,0
34,2,2,1,0,455,1,0,0
27,8,1,2,0,-195,1,0,1
32,5,1,3,0,3616,0,0,0
57,2,2,2,0,14093,0,0,0
41,0,1,3,0,1567,0,0,0
41,1,2,3,0,5426,1,0,0
30,1,1,3,0,261,0,0,0
36,2,3,2,0,2843,0,0,0
31,11,1,1,0,406,0,0,1
36,2,2,2,0,0,1,0,0
38,5,1,3,0,493,1,0,0
49,10,2,2,0,5996,0,0,0
57,8,1,1,0,3777,1,0,0
34,5,1,2,0,524,0,0,0
32,5,1,3,0,574,1,0,0
37,2,2,2,0,427,1,1,0
33,7,2,3,0,483,1,0,0
56,11,2,1,0,3391,0,0,1
27,4,2,1,0,0,1,0,0
21,9,1,2,0,2488,0,0,1
58,5,2,3,0,1517,1,0,0
32,7,2,2,0,217,1,1,0
33,2,1,2,0,22,0,0,0
25,9,1,2,0,331,0,0,1
25,10,1,2,0,505,0,1,1
30,8,2,2,0,1808,1,0,0
22,1,1,2,0,4111,0,1,0
39,2,2,1,0,52,0,0,0
46,5,3,3,0,25,0,0,0
31,1,3,2,0,1890,1,0,0
45,2,2,1,0,419,0,0,0
32,10,2,2,0,2693,1,0,0
36,2,2,2,0,-231,0,1,0
51,5,1,3,1,-55,1,0,0
34,7,1,3,0,462,0,0,1
24,11,1,2,0,119,0,0,0
45,10,1,2,0,586,0,1,0
32,2,1,2,0,228,0,0,0
77,6,3,3,0,4659,0,0,1
41,2,2,1,0,168,1,0,0
37,2,2,1,0,0,1,0,0
43,2,2,0,1,-715,1,0,0
48,1,2,0,0,0,1,0,0
27,10,1,2,0,769,1,0,0
33,5,1,3,0,0,0,0,0
29,1,1,2,0,428,1,1,0
34,5,1,3,0,0,0,0,0
52,5,2,3,0,-970,1,0,1
60,5,2,0,0,6313,0,0,0
32,5,3,3,0,948,0,0,0
32,5,1,3,0,0,1,0,0
56,8,3,0,0,1877,1,0,0
31,5,1,3,0,874,1,0,0
42,1,2,2,0,323,1,1,0
35,5,2,3,0,106,0,1,0
56,6,2,1,0,1906,0,1,0
48,10,2,2,0,1152,1,0,0
46,1,2,2,0,179,1,0,0
37,10,1,0,0,391,1,0,0
41,3,2,0,0,89,1,0,0
36,5,1,3,0,442,1,1,0
45,11,3,1,1,-249,1,1,0
55,3,2,2,0,8104,0,0,0
39,10,2,2,0,501,0,0,0
35,10,3,2,0,308,0,0,0
55,1,2,2,0,602,0,0,1
55,10,2,2,0,273,1,0,0
27,7,1,2,0,50,0,0,0
34,10,2,2,0,1641,1,0,0
34,2,2,3,0,20,0,0,0
25,1,1,2,0,4590,1,0,0
41,1,1,2,0,-256,0,1,0
43,8,2,2,0,978,1,1,0
28,5,1,3,0,80,0,0,1
31,1,1,2,0,2104,1,0,0
78,4,2,2,0,499,0,0,0
45,2,3,2,0,1269,1,0,0
48,10,2,3,0,310,0,0,0
32,2,1,2,0,1143,1,1,0
42,10,2,2,0,2980,0,0,0
37,5,1,3,0,37,0,0,0
40,1,1,2,0,462,1,1,0
32,1,2,2,0,1031,1,0,0
42,5,2,3,0,9009,0,0,0
43,1,2,2,0,-465,1,1,0
44,1,2,2,0,5181,1,1,0
37,1,2,2,0,176,1,0,0
37,0,2,0,0,1699,0,0,0
37,1,2,3,0,0,1,0,0
28,10,1,3,0,172,1,1,0
32,8,1,2,0,0,0,1,0
34,1,1,2,0,6979,1,0,0
40,1,3,2,0,6,0,0,0
34,8,2,2,0,-62,1,0,0
34,7,2,3,0,1972,1,0,0
34,1,2,3,0,899,1,0,0
37,8,1,2,0,21,1,0,0
36,10,2,2,0,23,1,0,0
56,6,2,2,0,-1206,1,0,1
49,2,2,1,0,0,1,1,0
33,7,2,2,0,215,1,0,0
30,5,1,3,0,1372,0,0,0
36,8,2,2,0,1981,0,0,0
23,9,1,2,0,9216,0,0,0
57,6,3,2,0,39,1,0,0
27,2,1,2,0,5563,1,0,0
38,8,2,2,0,1,0,1,0
42,10,2,3,0,782,0,0,0
75,6,2,2,0,3771,0,0,1
34,10,1,3,0,992,1,0,0
48,10,2,2,0,1526,0,0,0
35,10,1,3,0,2658,1,0,1
39,5,3,3,0,1315,1,0,0
29,2,1,3,0,455,0,0,1
45,10,1,3,0,0,1,0,0
42,10,2,2,0,2030,1,1,0
29,10,2,2,0,1599,1,0,0
38,8,1,2,0,-196,1,0,0
56,6,2,2,0,1333,0,0,0
36,10,1,2,0,9149,1,0,0
25,2,1,2,0,-350,1,0,0
38,10,2,3,0,432,1,0,0
57,7,2,2,0,11494,0,0,0
31,5,2,3,1,-253,0,0,0
42,5,2,3,0,372,1,0,1
45,10,2,2,0,1410,0,0,0
30,2,2,2,0,975,1,0,0
49,2,2,1,0,305,1,1,0
49,8,2,2,0,400,0,0,0
53,6,2,3,0,-22,1,0,0
37,10,2,2,0,4030,1,0,0
49,2,2,1,0,365,0,0,0
41,7,2,1,0,204,0,0,0
54,5,2,1,0,1691,1,0,0
32,8,1,2,0,406,1,0,0
33,10,2,2,0,-204,0,0,0
